Num,Lat,Lon,Value
646,-6.75,-75.75,1
647,-6.25,-75.75,4
648,-5.75,-75.75,4
649,-5.25,-75.75,2
650,-4.75,-75.75,2
651,-4.25,-75.75,2
652,-3.75,-75.75,2
653,-3.25,-75.75,2
654,-2.75,-75.75,2
655,-2.25,-75.75,2
656,-1.75,-75.75,5
657,-1.25,-75.75,5
658,-0.75,-75.75,5
659,-0.25,-75.75,5
660,0.25,-75.75,5
661,0.75,-75.75,5
662,1.25,-75.75,5
663,1.75,-75.75,5
664,2.25,-75.75,3
665,2.75,-75.75,1
666,3.25,-75.75,4
667,3.75,-75.75,4
668,4.25,-75.75,2
669,4.75,-75.75,2
670,5.25,-75.75,2
671,5.75,-75.75,2
672,6.25,-75.75,2
685,-15.25,-75.25,3
686,-14.75,-75.25,3
687,-14.25,-75.25,3
688,-13.75,-75.25,3
689,-13.25,-75.25,3
690,-12.75,-75.25,3
691,-12.25,-75.25,3
692,-11.75,-75.25,3
693,-11.25,-75.25,1
694,-10.75,-75.25,1
695,-10.25,-75.25,1
696,-9.75,-75.25,1
697,-9.25,-75.25,4
698,-8.75,-75.25,4
699,-8.25,-75.25,4
700,-7.75,-75.25,1
701,-7.25,-75.25,1
702,-6.75,-75.25,1
703,-6.25,-75.25,4
704,-5.75,-75.25,4
705,-5.25,-75.25,2
706,-4.75,-75.25,4
707,-4.25,-75.25,4
708,-3.75,-75.25,4
709,-3.25,-75.25,2
710,-2.75,-75.25,2
711,-2.25,-75.25,2
712,-1.75,-75.25,5
713,-1.25,-75.25,5
714,-0.75,-75.25,5
715,-0.25,-75.25,5
716,0.25,-75.25,5
717,0.75,-75.25,5
718,1.25,-75.25,5
719,1.75,-75.25,5
720,2.25,-75.25,2
721,2.75,-75.25,1
722,3.25,-75.25,1
723,3.75,-75.25,1
724,4.25,-75.25,2
725,4.75,-75.25,2
726,5.25,-75.25,4
727,5.75,-75.25,2
728,6.25,-75.25,5
740,-15.75,-74.75,3
741,-15.25,-74.75,3
742,-14.75,-74.75,3
743,-14.25,-74.75,3
744,-13.75,-74.75,3
745,-13.25,-74.75,3
746,-12.75,-74.75,3
747,-12.25,-74.75,3
748,-11.75,-74.75,3
749,-11.25,-74.75,1
750,-10.75,-74.75,1
751,-10.25,-74.75,4
752,-9.75,-74.75,1
753,-9.25,-74.75,1
754,-8.75,-74.75,1
755,-8.25,-74.75,1
756,-7.75,-74.75,1
757,-7.25,-74.75,1
758,-6.75,-74.75,1
759,-6.25,-74.75,4
760,-5.75,-74.75,4
